,OBJECTID,NAME,NAME_AR,STOP_NUMBER,longitude,latitude
2226,279977,St 13 / St 26,شارع 13 / شارع 26,40927,54.648998888999984,24.274193889000003
2227,279978,St 79 / St 26,شارع 79 / شارع 26,12042,54.540578056000015,24.374281111000016
2228,279979,Emirates St 113 / Al Foah Plantation,شارع الإمارات 113 / مشتل الفوعة,91107,55.79813194500002,24.319378888000017
2229,279980,Al Qemma School,مدرسة القمة,30248,54.69180388900003,24.361499999999978
2230,279981,St 7 / C St,شارع 7 / شارع س,15074,54.650334999999984,24.392456110000012
2231,279982,1st St  / Animal Souq Southern Entrance,شارع 1 / سوق المواشي المدخل الجنوبي,94432,55.81560611100002,24.159038054999996
2232,279983,Khalifa Ibn Zayed St 135 / Al Madeena Health Center,شارع خليفة بن زايد 135 / مركز المدينة الصحي,90238,55.76347194499999,24.225588055000003
2233,279984,Mirfa Bus Station,المرفأ محطة الحافلات,77000,53.48162805599998,24.08729888800002
2234,279985,Al Mina St / Zayed Port,شارع  الميناء /  ميناء زايد,319,54.381219999999985,24.514586943999973
2235,279986,ADNOC,ادنوك,11732,54.51697194500002,24.325143889000003
2236,279987,Khattam Al Shikhla St / Falcon Research Center,خطم الشكله /  مركز بحوث الصقر,94005,55.82182,24.204321944000014
2237,279988,St 24 / St 77,شارع 77  / شارع 24,12250,54.545255,24.36228
2238,279989,St 6 / Civil Defence,شارع 6 / مركز الدفاع المدني,28184,54.682996944000024,24.54140305499999
2239,279990,E15 Hospital,مستشفى غياثي,80437,52.80655999999999,23.869891110000026
2240,279991,Al Ain Dubai St   / Water Tanks,شارع العين دبي / خزانات مياه,36013,55.77358694499998,24.48620805500002
2241,279992,St 15 / St 52,شارع  15  \   شارع 52,16152,54.564403055000014,24.412698889000012
2242,279993,Administration Centre North,ادارة المركز شمال,11896,54.51895000000002,24.33024694400001
2243,279994,St 17 / St 30,شارع 17 / شارع 30,26054,54.677501111000026,24.55079611100001
2244,279995,St 67 / St 12,شارع 67  / شارع 12,12260,54.55086111100002,24.352793888999997
2245,279996,E95  / Fodder Factory,شارع إ95 / مصنع الاعلاف,96301,55.74495999999999,24.337641943999984
2246,279997,Near St No. 3,قرب الشارع 3,55020,55.40676888799999,23.882286943999986
2247,279998,Service road / Light Stone Factory,شارع خدمة / مصنع لايت ستون,48208,55.635758055,24.064574999
2248,279999,Farm,مزرعة,55016,55.48715611099999,23.89857888900002
2249,280000,Emirates St 113 / Al Khalif Kindergarten,شارع الإمارات 113 / روضة الخليف,91109,55.796053056000005,24.313958888000002
2250,280001,Hamdan Ibn Mohammed St 127 / Dubai Islamic Bank,شارع حمدان بن محمد 127 / بنك دبي الإسلامي,91601,55.72129694400002,24.242096111000023
2251,280002,St 26 / St 17,شارع 26 / شارع 17,40950,54.65178805599999,24.273754999999994
2252,280003,Al Khor St / Qaryat Al Beri Souq,شارع 5 / سوق قرية البري,3521,54.49207999999999,24.409561111000016
2253,280004,St 15 / St 22,شارع 15 / شارع 22,24118,54.69080611099997,24.593218889000013
2254,280005,Access Road / Farms,مخرج / مزارع,41101,55.34943694499998,24.198946944
2255,280006,Sultan Ibn Zayed Al Awwal St 143 / Saeed Ahmad Al Dahri Mosque,شارع سلطان بن زايد الأول  143  / مسجد سعيد أحمد الظاهري,90600,55.735303054999974,24.212321110999994
2256,280007,Um Ghaffa St  / Souq,شارع أم غافة / سوق,46048,55.86615305599997,24.092566110000007
2257,280008,Khalifa Ibn Zayed St 135 / Tawam Roundabout,شارع خليفة بن زايد 135 / دوار توام,93028,55.656754999999976,24.195299999999975
2258,280009,Administration Centre,ادارة المركز,11729,54.51655499999998,24.32877111099998
2259,280010,Zayed Bin Sultan St  / Near St 6,شارع زايد بن سلطان / قرب الشارع رقم  6,46133,55.842805,24.042573888999982
2260,280011,St 13 / Wedding Hall,شارع 13 / صالة الأفراح,1915,54.39653694399999,24.439511944000003
2261,280012,Mawgab St / Vehicles and Drivers Licensing Department,شارع موقب / إدارة ترخيص الآليات والسائقين,2705,54.421294999999986,24.434356111
2262,280013,Firdous St / Hamdan St,ش الفردوس / ش حمدان,1003,54.37617305600003,24.50100500000002
2263,280014,Mirfa Bus Station,المرفأ محطة الحافلات,77000,53.48187611100002,24.087816943999997
2264,280015,Al Falah St / Al Danah Mosque,شارع الفلاح / مسجد الدانة,927,54.373940000000005,24.481933888000015
2265,280016,Hazza Bin Sultan St 138 / Near St 16,شارع هزاع بن سلطان 138 / قرب شارع 16,94902,55.71205500000002,24.159863056000006
2266,280017,64th St  / Wedding Hall,شارع 64 / صالة اعراس,46061,55.83624500000002,24.07468305499998
2267,280018,Al Ataa School,مدرسة العطاء,56203,55.57405111100002,23.99738499900002
2268,280019,St 20 / St 1,شارع  20 /  شارع  1,1039,54.367264999999975,24.528011944000014
2269,280020,St 15 / St 56,شارع 15 / شارع 56,24126,54.69591194499998,24.604598054999997
2270,280021,Mohammed Ibn Khalifa St 120 / Al Kharais Petrol Station,شارع محمد بن خليفة 120 / محطة وقود الخريس,91519,55.752803889000006,24.247961943999996
2271,280022,Mohammed Ibn Khalifa St 120 / Al Rumaila Police Station,شارع محمد بن خليفة 120 / مركز شرطة الرميلة,91503,55.76676500000002,24.285064998999985
2272,280023,Qurn Al Aysh ADNOC Fod,قرين العيش أدنوك فود,80042,53.103416944,24.072016943999984
2273,280024,Al Karamah St / Al Mushrif Garden,شارع الكرامة / حديقة المشرف,2422,54.38118694399998,24.449545
2274,280025,Emirates St  / Al Foa'a Police Station,شارع الإمارات / مركز شرطة الفوعة,91131,55.80695111099999,24.343610000000012
2275,280026,Stop 29908,موقف 29908,29908,54.72699805600001,24.427403888000015
2276,280027,Shk Rashid Bin Saeed St / Rabdan St,شارع الشيخ راشد بن سعيد / شارع ربدان,265,54.42651888900002,24.429051945000026
2277,280028,St 55 / St 20,شارع 55 / شارع 20,12120,54.55042694399998,24.332055000000025
2278,280029,40th St  / Near St 67,شارع 40 / قرب الشارع رقم 67,94604,55.821653056,24.150008055
2279,280030,Hazzaa Ibn Sultan St  / Eid Prayer Ground Al Quaa,شارع هزاع بن سلطان / مصلى العيد - القوع,51061,55.428890000000024,23.407976943999984
2280,280343,40th St  / Near St 21,شارع 40 / قرب الشارع رقم 21,94608,55.82847388900001,24.150708888999986
2281,280344,Khaled Ibn Sultan St 147 /  Al Agabiya Walkway,شارع خالد بن سلطان 147 / ممشى العقابية,93410,55.66943805599999,24.17865999899999
2282,280345,Shakhboot Ibn Sultan St 131 / Market,شارع شخبوط بن سلطان  131  / سوق,90016,55.774688889000004,24.229563887999973
2283,280346,St 3 / St 18,شارع 3 \ شارع 18,16042,54.5505,24.425898055000005
2284,280347,St 14 / St 59,شارع 14 / شارع 59,40455,54.641448889,24.29526694399999
2285,280348,St 2 / Souq,شارع 2 / سوق,40623,54.64396888900001,24.284643055000004
2286,280349,38th St  / Sweihan Police Station,شارع 38 / مركز شرطة سويحان,38000,55.33136999999999,24.46854111099998
2287,280350,Al Bahya St / Farms 1,شارع الباهية \ مزارع 1,28510,54.64819805600001,24.523301944000025
2288,280351,Al Sila'a Tamm Center,السلع مركز تم,89228,51.76249805499998,24.061523049000016
2289,280352,4th St  / Radwan Mosque,شارع 4 / مسجد الرضوان,93004,55.63191111100002,24.186151111000015
2290,280353,Tawam St / Autism Unit,شارع توام / وحدة التوحد,93712,55.66674805600002,24.16984499900002
2291,280354,Local Road / Dates Factory,طريق محلي / مصنع التمور,42090,55.42450611100003,24.208391111000026
2292,280355,St 21 / Sultan Bin Zayed Mosque,شارع 21 / مسجد سلطان بن زايد,22298,54.758596943999976,24.672900000000027
2293,280356,Al Fihaydi St / Al Dheed St,شارع الفيحيدي / شارع الديد,3540,54.51431888899998,24.405268055000022
2294,280357,Um Ghaffa St  / Playground Um Ghafa,شارع أم غافة / ملعب أم غافة,47048,55.920230000000004,24.093938888000025
2295,280358,St 11 / St 14,شارع 11 / شارع 14,3520,54.489931110999976,24.39755999900001
2296,280359,Old Shabiya South,الشعبية القديمة جنوب,86170,52.81511805600002,23.821568887000012
2297,280360,St 84 / Police Station,شارع 84 / مركز شرطة,22225,54.74200194399998,24.655503055999986
2298,280361,St 7 / St 16,شارع 7 \ شارع 16,11554,54.472651111000005,24.346538887999998
2299,280362,Western Region Development Council,مجلس تنمية المنطقة الغربية,11290,54.518478888999994,24.32380694400001
2300,280363,Al Ain Dubai St   / Al Ain Livestock Production,شارع العين دبي / شركة العين للانتاج الحيواني,36120,55.795293055,24.39772388900002
2301,280364,St 26 / St 19,شارع 26 / شارع 19,40410,54.63189999999997,24.319399998999984
2302,280365,Mansoor Bin Zayed Mosque,مسجد الشيخ منصور بن  زايد,480,54.443921945,24.440294999000002
2303,280366,Zayed Ibn Sultan St 137 / Rotana Hotal,شارع زايد بن سلطان 137 / فندق روتانا,90406,55.74793805500002,24.219806944000027
2304,280367,Abu Awanah E90 / Farms,ابوعوانة ش 90 / المزارع,60818,54.23836499999999,22.966929999
2305,280368,Jebel Dhanna ADCO,جبل الظنة  أدكو,88151,52.63079499999998,24.17364805400001
2306,280369,Al Falah St / Fatimah Bint Mubarak St,شارع الفلاح / شارع فاطمة بنت مبارك,929,54.37716694400001,24.48434694399998
2307,280370,St 3 / St 30,شارع 3 \ شارع 30,16044,54.55368694399999,24.427096944000027
2308,280371,St 15 / Emirates Transport,شارع 15 / مواصلات الامارات,11704,54.51139611100001,24.370974999999987
2309,280372,St 27 / St 6,شارع 27 / شارع 6,40708,54.61729611200002,24.306023889000016
2310,280373,Service Rd  / Guidance and Protection Center Al Yahar,شارع خدمات / مركز ارشاد ووقاية اليحر,43012,55.57836694399998,24.26182194400002
2311,280374,Al Khazana Community,,45005,55.129698889,24.16910805499998
